hub_id,in_degree,out_degree,betweenness_centrality,clustering_coefficient,pagerank,total_hub_trips,total_sla_breach_trips,breach_rate_%,risk_tier
IND243301AAB,1,2,0.00040105809785817586,0.3333333333333333,0.0001905254181667467,9.0,8.0,88.9,Low Risk
IND583119AAA,1,1,0.0011952362916376551,1.0,0.00047683190201803854,8.0,8.0,100.0,Low Risk
IND600016AAC,5,3,0.0011990162925599754,0.0,0.001302678107813662,11.0,8.0,72.7,Low Risk
IND243503AAB,3,1,0.00039916809739701573,0.6666666666666666,0.00163743693348221,8.0,8.0,100.0,Low Risk
IND244501AAA,1,1,0.0,1.0,0.0001708450258142111,8.0,8.0,100.0,Low Risk
IND244301AAA,1,1,0.0012020402932978315,1.0,0.00027067973952370493,8.0,8.0,100.0,Low Risk
IND600076AAB,5,4,0.0,1.0,0.000606276583855121,13.0,8.0,61.5,Low Risk
IND673121AAA,1,1,0.0,1.0,0.00023412029530008515,8.0,8.0,100.0,Low Risk
IND607001AAA,1,1,0.0027983346827936623,0.0,0.0003151259936754867,8.0,8.0,100.0,Low Risk
IND609602AAA,1,1,0.002792664681410182,0.0,0.0005058874658162478,8.0,8.0,100.0,Low Risk
IND224001AAA,0,3,0.0,0.0,0.00012114567835132603,11.0,8.0,72.7,Low Risk
IND221706AAA,1,1,0.001212246295788096,0.0,0.0005695403182178372,8.0,8.0,100.0,Low Risk
IND625106AAA,2,2,2.6460006456241573e-06,0.0,0.00022412632918316207,11.0,8.0,72.7,Low Risk
IND621306AAA,0,2,0.0,0.0,0.00012114567835132603,11.0,8.0,72.7,Low Risk
IND458990AAA,1,1,0.00039916809739701573,1.0,0.0004478014424963162,8.0,8.0,100.0,Low Risk
IND843126AAA,2,2,0.0,1.0,0.0007856140254062452,9.0,8.0,88.9,Low Risk
IND700028AAB,4,2,0.0003995460974892478,0.0,0.0009385972136716421,10.0,7.0,70.0,Low Risk
IND328001AAA,3,3,0.0008385760227943671,0.5,0.00040975005714698236,12.0,7.0,58.3,Low Risk
IND786125AAA,2,1,0.0,1.0,0.0005047057514064164,7.0,7.0,100.0,Low Risk
IND786190AAA,3,2,8.694002121336517e-06,0.6666666666666666,0.0008489614555797396,8.0,7.0,87.5,Low Risk
IND792121AAB,2,2,0.0,0.0,0.0006145129056930199,10.0,7.0,70.0,Low Risk
IND787001AAA,2,2,1.51200036892809e-06,0.0,0.00032710698001499805,8.0,7.0,87.5,Low Risk
IND505184AAC,2,2,1.8900004611601124e-07,1.0,0.0006896472131666342,8.0,7.0,87.5,Low Risk
IND421802AAA,1,1,0.00039916809739701573,0.0,0.0003327711022007763,7.0,7.0,100.0,Low Risk
IND742401AAA,2,4,0.0015944043890346712,0.0,0.0008921260378117938,13.0,7.0,53.8,Low Risk
